,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance
Function Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First Obs. Date,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2018,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015
Last Obs. Date,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
Last Update Time,02/01/2022,02/01/2022,16/02/2022,02/01/2022,02/01/2022,02/01/2022,02/01/2022,16/02/2022,02/01/2022,16/02/2022,02/01/2022,16/02/2022,16/02/2022,02/01/2022,16/02/2022,02/01/2022,02/01/2022,16/02/2022,16/02/2022,09/02/2022,16/02/2022,16/02/2022,02/01/2022,02/01/2022,09/02/2022,02/01/2022,02/01/2022,02/01/2022,16/02/2022,02/01/2022
Series remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suggestions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mean,77.364102,80.683998,48.097198,58.759852,40.074176,62.058124,84.906668,55.99769,38.349213999999996,78.98932199999999,74.638542,72.51951,53.41262400000001,54.77221199999999,49.57051,54.457209999999996,64.84815,80.284528,69.42105799999999,80.06526800000002,52.919894,52.368452000000005,64.782142,66.85707199999999,78.64245600000001,56.750767999999994,51.178864000000004,51.831352,54.292615999999995,82.47812200000001
Variance,0.6619632424700016,0.011221733069999903,0.000031965569999990455,2.009062283819999,0.9296917872299998,0.23783254722999853,0.14551601296999955,0.04291412744999969,1.7680090394300023,0.00043810412000002964,1.8114996429700048,0.5028514601500021,0.172381095080001,0.21814207752000014,0.9777795210999995,0.02368349729999975,0.00003104720000000086,1.2917260450700034,0.05542921352000085,0.3172157066199995,0.21575634992999937,1.4002964554699984,2.1989415194700004,1.1936891694700085,5.604137724629998,25.063154171870018,14.85652570333001,12.794550263119994,0.029269253929999836,0.1698242689700017
Standard Deviation,0.8136112354619998,0.10593268178423457,0.005653810219665182,1.4174139422977323,0.9642052619800412,0.48768078415086086,0.38146561177909544,0.2071572529505054,1.3296650102300211,0.02093093691166331,1.3459196272326237,0.7091202014820915,0.41518802376754677,0.46705682472264565,0.9888273464563971,0.15389443557191973,0.0055720014357500715,1.1365412641299055,0.23543409591645992,0.5632190574012916,0.46449580184324524,1.183341225289645,1.4828828407767083,1.0925608310158335,2.3673060057014172,5.006311433767382,3.8544163894589816,3.5769470590323245,0.1710825938837725,0.4120974022849473
Skewness,-2.097176884298216,-0.5211208797654375,-0.6839053381415541,0.07029519158365403,-1.3624623653159489,0.20176565015286851,-0.9423347905919147,0.12026422714084337,2.222756307342689,-0.4787896149270798,0.6751468570915271,-0.5006574160160657,-0.20148778333804032,2.043556255027943,-0.26642437065238184,1.5896824039956574,,-0.18242884805750278,-0.6093616207864596,-1.4677355659802493,-0.5880176466564033,-2.1026479814707946,-1.6225370417284515,-0.8650789254443875,-0.015981526656639603,-0.8342484200378701,0.3963255468284168,0.48383697505201634,0.7269149617588313,-1.0635631750155305
Kurtosis,4.56341812617859,-1.4745490912592372,-0.013868398336816412,-1.8175988864219033,2.4986377148740058,-2.7988032954621165,0.6347708278699518,-0.8913730673191127,4.951386674554335,-1.9171593572537162,1.357090848088566,-3.0307306984436124,-1.9153374657626578,4.417405186106457,-0.11331231321046165,2.6767195208404235,,-2.3974825991606936,-3.3046277938090487,2.434008143566107,-3.2606220597985667,4.511568419312088,3.069169480300081,-1.4394426707531753,-2.4075464652792684,-1.734318118189445,0.7138448599465388,-0.9486620375187513,-0.7809513615809802,1.2301721260609053
Coefficient Variation,0.01051665067426233,0.0013129329781629631,0.00011754967970618959,0.024122149631992475,0.02406051373283486,0.007858451927274837,0.004492763887273205,0.003699389259637414,0.03467254922695472,0.0002649843849990675,0.018032501589227503,0.009778336912123256,0.007773219000952784,0.00852725876257555,0.01994789536069726,0.002825969886667344,0.00008592383029816689,0.014156417088606483,0.0033913930830103446,0.007034499121407943,0.008777338099793723,0.02259645225506465,0.022890302713002426,0.01634173915088345,0.030102137269230465,0.08821574773697129,0.07531266011412409,0.06901126289417116,0.0031511208427269836,0.004996445024353819
Min,75.92621,80.53864,48.08887,56.99383,38.4902,61.52534,84.32249,55.73586,37.67892,78.96154,72.99577,71.68638,52.87481,54.42189,48.20686,54.3316,64.84421,78.99313,69.15342,79.13397,52.38841,50.27763,62.28109,65.29449,76.02546,49.70961,46.32429,48.37466,54.11838,81.83183
Max,77.93588,80.79339,48.10341,60.43442,41.05286,62.59562,85.3154,56.26791,40.72493,79.011,76.67572,73.19206,53.84483,55.59384,50.82456,54.71496,64.85209,81.61948,69.6031,80.59931,53.2984,53.12964,66.13941,67.77262,81.46811,60.9371,56.75932,56.87589,54.53967,82.91579
Median,77.63075,80.7042,48.09786,58.37525,40.26392,61.95631,85.04858,55.97099,37.74675,78.99464,74.34011,72.85055,53.38889,54.60701,49.77807,54.42282,64.84815,80.63462,69.58703,80.28054,53.20063,52.87624,65.21409,67.40642,78.89594,59.52076,51.17303,52.02699,54.24718,82.62729
No. of Obs,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5
2015,75.92621,80.53864,48.09489,56.99383,40.02737,61.68036,84.32249,56.12768,37.67892,78.97419,72.99577,71.68638,52.87481,55.59384,48.20686,54.71496,,78.99313,69.15342,79.13397,52.4375,50.27763,62.28109,65.29449,76.02546,49.70961,46.32429,48.37466,54.11838,81.83183
2016,77.63075,80.7042,48.08887,58.03559,38.4902,61.95631,84.76059,55.73586,37.73652,79.00524,74.20098,71.82565,53.15749,54.42189,49.05728,54.46561,,79.21677,69.1733,80.59931,52.38841,52.61403,64.77862,66.1351,76.48622,53.22437,49.32578,48.47451,54.24718,82.35614
2017,77.62772,80.76691,48.10096,58.37525,40.26392,61.52534,85.04858,55.88601,37.74675,78.99464,74.34011,73.19206,53.38889,54.60143,49.98578,54.35106,,80.63462,69.58844,79.99279,53.20063,52.87624,65.21409,67.40642,78.89594,59.52076,51.17303,52.02699,54.17112,82.65956
2018,77.69995,80.79339,48.09786,60.43442,40.53653,62.53299,85.08628,55.97099,37.85895,79.011,74.98013,73.04291,53.7971,54.60701,49.77807,54.42282,64.85209,80.95864,69.58703,80.31973,53.2984,53.12964,65.4975,67.67673,80.33655,60.362,52.3119,53.40471,54.53967,82.91579
2019,77.93588,80.61685,48.10341,59.96017,41.05286,62.59562,85.3154,56.26791,40.72493,78.96154,76.67572,72.85055,53.84483,54.63689,50.82456,54.3316,64.84421,81.61948,69.6031,80.28054,53.27453,52.94472,66.13941,67.77262,81.46811,60.9371,56.75932,56.87589,54.38673,82.62729
