Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Lead Investments,CB Rank (Investor)
XMi High Growth Development Fund,https://www.crunchbase.com/organization/xmi-high-growth-development-fund,25,4,"Nashville, Tennessee, United States",XMi High Growth Development Fund offers full service outsourcing and entrepreneurial support to businesses.,"Government Office, Private Equity Firm",,1,"48,360"
China Chengtong Holding Group,https://www.crunchbase.com/organization/china-chengtong-holding-group,6,2,"Beijing, Beijing, China",China Chengtong Holding Group is a conglomerate company based in China.,Government Office,,2,"48,245"
Kookmin University,https://www.crunchbase.com/organization/kookmin-university,2,,"Seoul, Seoul-t'ukpyolsi, South Korea",Kookmin University is a school.,University Program,,,"48,237"
Primary Growth Partnership,https://www.crunchbase.com/organization/primary-growth-partnership,1,,"Wellington, Wellington, New Zealand",New Zealand Government Investment vehicle,Government Office,,1,"48,125"
Kentucky Transportation Cabinet,https://www.crunchbase.com/organization/kentucky-transportation-cabinet,4,,"Frankfort, Kentucky, United States",Kentucky Transportation Cabinet is a government organisation that provides public transportation.,Government Office,,4,"48,047"
U.S. Army Medical Research & Development Command,https://www.crunchbase.com/organization/u-s-army-medical-research-development-command,8,3,"Maryland, Louisiana, United States","USAMRMC is conducts research to deliver the medical solutions to enhance, protect and treat the warfighter.",Government Office,,7,"47,939"
"Simon School of Business, University of Rochester",https://www.crunchbase.com/organization/william-e-simon-graduate-school-of-business-administration,1,,"Rochester, New York, United States","At Simon Business School, we offer an education that will attract students who value our analytic bias.",University Program,,,"47,785"
USAID East Africa Trade and Investment Hub,https://www.crunchbase.com/organization/usaid-east-africa-trade-and-investment-hub,17,1,"Nairobi, Nairobi Area, Kenya",USAID East Africa Trade and Investment Hub is a U.S. Government that seeks to increase commerce and investment with and within Africa.,Government Office,,7,"47,742"
SENACYT,https://www.crunchbase.com/organization/senacyt,2,,"Panama City, Panama, Panama","Secretaría Nacional de Ciencia, Tecnología e Innovación",Government Office,Grant,2,"47,650"
SEBRAE - SC,https://www.crunchbase.com/organization/sebrae-sc,2,,"Brasilândia, Distrito Federal, Brazil",Sebrae supports small enterprises' competitiveness and long-term growth by encouraging entrepreneurship.,Government Office,Early Stage Venture,,"47,648"
Kosgeb,https://www.crunchbase.com/organization/kosgeb,11,,"Ankara, Ankara, Turkey",Kosgeb is a government body dedicated to helping SMEs in their development through a variety of activities and services.,Government Office,,4,"47,588"
Ontario Together Fund,https://www.crunchbase.com/organization/ontario-together-fund,9,2,"Toronto, Ontario, Canada",Ontario Together Fund gives support to businesses and organizations for projects that improve the healthcare sector's resilience.,Government Office,,8,"47,561"
National Center for Research & Development,https://www.crunchbase.com/organization/national-center-for-research-development,45,5,"Warszawa, Mazowieckie, Poland","Entity in charge of the performance of the tasks within the area of national science, science and technology and innovation policies.",Government Office,Grant,24,"47,548"
Biotechnology Industry Research Assistance Council(BIRAC),https://www.crunchbase.com/organization/biotechnology-industry-research-assistance-council-birac,28,1,"New Delhi, Delhi, India","Biotechnology Industry Research Assistance Council (BIRAC) is a not-for-profit Section 8, Schedule B, Public Sector Enterprise.",Government Office,,13,"47,496"
Government of Ontario,https://www.crunchbase.com/organization/government-of-ontario,6,1,"Toronto, Ontario, Canada","Government of Ontario is Government extending all kinds of information, facilities & well being of the citizens of Ontario.",Government Office,,6,"47,490"
Massachusetts Pension Reserve Investment Management Board,https://www.crunchbase.com/organization/massachusetts-pension-reserve-investment-management-board,1,,"Boston, Massachusetts, United States",PRIM serves as a complete information resource for the Massachusetts Pension Reserves Investment Trust (PRIT).,Government Office,,,"47,474"
InfraCo Africa,https://www.crunchbase.com/organization/infraco-africa,8,,"London, England, United Kingdom",InfraCo Africa may invest in infrastructure projects in these sectors and in these sub-Saharan African countries.,Government Office,,3,"47,416"
Hansol,https://www.crunchbase.com/organization/hansol,1,,"Seoul, Seoul-t'ukpyolsi, South Korea","Hansol is a South Korean conglomerate, or chaebol.",Government Office,,,"47,401"
Nigeria Sovereign Investment Authority,https://www.crunchbase.com/organization/nigeria-sovereign-investment-authority,1,,"Abuja, Federal Capital Territory, Nigeria",Nigeria Sovereign Investment Authority is a government agency that specializes in financial sustainability.,Government Office,,1,"47,379"
Skandalaris Center for Interdisciplinary Innovation and Entrepreneurship,https://www.crunchbase.com/organization/skandalaris-center-for-interdisciplinary-innovation-and-entrepreneurship,70,8,"St Louis, Missouri, United States","Washington University's hub for startups, innovation, and entrepreneurship.",University Program,"Early Stage Venture, Grant, Late Stage Venture, Seed",69,"47,375"
Polish Investment and Trade Agency,https://www.crunchbase.com/organization/polish-investment-and-trade-agency,1,,"Warsaw, Mazowieckie, Poland",Polish Investment and Trade Agency (PAIH) works to increase the inflow of investments to Poland and the outflow of Polish FDI.,Government Office,Grant,,"47,335"
ProfitZoro,https://www.crunchbase.com/organization/profitzoro,,,"Zürich, Zurich, Switzerland",ProfitZoro Revolution,"Entrepreneurship Program, Family Investment Office, Fund Of Funds, Hedge Fund, Investment Bank, Private Equity Firm, University Program",Private Equity,,"47,243"
Qatar Business Incubation Center,https://www.crunchbase.com/organization/qatar-business-incubation-center,4,,"Doha, Ad Dawhah, Qatar",Developing the next QAR 100 million companies in Qatar,"Government Office, Incubator",,,"47,166"
Aargauische Kantonalbank,https://www.crunchbase.com/organization/aargauische-kantonalbank,11,3,"Aarau, Aargau, Switzerland",Aargauische Kantonalbank (AKB) is a classical universal bank for private and corporate clients and institutional investors.,Government Office,,,"47,143"
Hot DesQ,https://www.crunchbase.com/organization/hot-desq,39,2,"Brisbane, Queensland, Australia",Australia's first international startup attraction program,"Accelerator, Government Office","Early Stage Venture, Grant, Late Stage Venture, Non Equity Assistance, Secondary Market, Seed",,"47,116"
Luxinnovation,https://www.crunchbase.com/organization/luxinnovation,2,,"Luxembourg, Luxembourg, Luxembourg",Luxinnovation The National Agency for Innovation and Research in Luxembourg.,Government Office,,1,"47,015"
Bank of Oklahoma,https://www.crunchbase.com/organization/bank-of-oklahoma,2,,"Tulsa, Oklahoma, United States","Bank of Oklahoma is a banking firm that offers personal and business services, wealth management and mortgage services to its clients.",Government Office,,1,"47,008"
Commercialisation Australia,https://www.crunchbase.com/organization/commercialisation-australia,8,2,"Canberra, Australian Capital Territory, Australia",The ANAO is a specialist public sector practice providing audit and assurance services to the Parliament and Commonwealth entities.,Government Office,"Grant, Seed",2,"46,929"
Région Grand Est,https://www.crunchbase.com/organization/région-grand-est,7,,"Strasbourg, Alsace, France",Grand Est formerly Alsace-Champagne-Ardenne-Lorraine is an administrative region in northeastern France .,Government Office,,4,"46,881"
Seoul Metropolitan Government,https://www.crunchbase.com/organization/seoul-metropolitan-government,1,,"Seoul, Seoul-t'ukpyolsi, South Korea","Seoul Metropolitan Government is the government of Seoul, South Korea's metropolitan area.",Government Office,,1,"46,697"
Small Business and Technology Development Center,https://www.crunchbase.com/organization/small-business-and-technology-development-center,,,"Raleigh, North Carolina, United States","The SBTDC is North Carolina’s leading resource for growing and developing businesses. Our highly skilled professionals, position as a","Entrepreneurship Program, University Program",,,"46,658"
Spectrum Health Ventures,https://www.crunchbase.com/organization/spectrum-health-ventures,7,2,"Grand Rapids, Michigan, United States","Spectrum Health Ventures focuses on partnerships and new ventures and investing in emerging healthcare products, services, and technologies.",Government Office,Early Stage Venture,1,"46,571"
Finance Authority of Maine,https://www.crunchbase.com/organization/finance-authority-of-maine,4,1,"Augusta, Maine, United States",Finance Authority of Maine is a quasi-independent state agency that provides innovative solutions.,Government Office,,3,"46,107"
Federal Government of Germany,https://www.crunchbase.com/organization/federal-government-of-germany,7,2,"Berlin, Berlin, Germany","Germany is a democratic, federal parliamentary republic with its Capital in Berlin.",Government Office,,3,"46,071"
National Council for Social Security Fund,https://www.crunchbase.com/organization/national-council-for-social-security-fund,3,1,"Beijing, Beijing, China",National Social Security Fund is a sovereign wealth fund of the government of People's Republic Of China.,Government Office,,1,"46,043"
Texas Christian University,https://www.crunchbase.com/organization/texas-christian-university,,,"Fort Worth, Texas, United States","Texas Christian University (TCU) is a private, coeducational university located in Fort Worth, Texas; its' mascot is the ""horned frog.""",University Program,,,"45,996"
Région Nouvelle-Aquitaine,https://www.crunchbase.com/organization/région-nouvelle-aquitaine,11,2,"Bordeaux, Aquitaine, France","Région Nouvelle-Aquitaine composes with the regional economic, social, and environmental council.",Government Office,,2,"45,968"
Pusan National University,https://www.crunchbase.com/organization/pusan-national-university,11,,"Busan, Pusan-jikhalsi, South Korea",Pusan National University is a school in Busan.,University Program,,2,"45,891"
Oxford Saïd Business School,https://www.crunchbase.com/organization/sa-d-business-school,4,2,"Oxford, Oxfordshire, United Kingdom",The Oxford Saïd Business School Venture Fund provides entrepreneurs with seed and early-stage capital.,University Program,,1,"45,809"
UCSF Foundation Investment Company,https://www.crunchbase.com/organization/ucsf-foundation-investment-company,4,,"San Francisco, California, United States",UCSF Foundation Investment Company is a financial services company,University Program,,,"45,804"
Commodity Futures Trading Commission,https://www.crunchbase.com/organization/commodity-futures-trading-commission,,,"Washington, District of Columbia, United States",CFTC aims to protect market participants and the public from fraud related to market transactions.,Government Office,,,"45,752"
Government of New Brunswick,https://www.crunchbase.com/organization/government-of-new-brunswick,3,,"Fredericton, New Brunswick, Canada",Government of New Brunswick is a government portal that offers information and news on government programs and services.,Government Office,,2,"45,659"
British Fashion Council,https://www.crunchbase.com/organization/british-fashion-council,4,,"London, England, United Kingdom",The British Fashion Council (BFC) is a not-for-profit organisation that aims to further the interests of the British fashion industry.,Government Office,,2,"45,548"
Lille University of Science and Technology,https://www.crunchbase.com/organization/lille-university-of-science-and-technology,1,,"Lille, Nord-Pas-de-Calais, France",The Université Lille 1 is a training offer is evolving at the start of the school year 2020.,University Program,,,"45,326"
UniTartu Ventures,https://www.crunchbase.com/organization/unitartu-ventures,3,,,"UniTartu Ventures team up with early-stage deep tech investors to support the University of Tartu's connected researchers, startups.",University Program,,,"45,315"
Morongo Band of Mission Indians,https://www.crunchbase.com/organization/the-morongo-band-of-mission-indians,2,,"Banning, California, United States",The Morongo Band of Mission Indians is a federally recognized American Indian tribe located in Cabazon.,Government Office,,1,"45,272"
Dongguk University,https://www.crunchbase.com/organization/dongguk-university,2,,"Seoul, Seoul-t'ukpyolsi, South Korea","Founded in 1906, Dongguk University is one of the most prominent private institutions in Korea.",University Program,,,"45,258"
American Public University System,https://www.crunchbase.com/organization/american-public-university-system,1,,"Charles Town, West Virginia, United States",American Public University System is a school in Charles Town.,University Program,,,"45,252"
MSIT (Ministry of Science and ICT),https://www.crunchbase.com/organization/msit-ministry-of-science-and-ict,5,,"Sejung, Ch'ungch'ong-bukto, South Korea",creating new value based on the convergence between science & technology and ICT,Government Office,,2,"45,101"
Nebraska Innovation Fund: Prototype Fund (Grant),https://www.crunchbase.com/organization/nebraska-innovation-fund-prototype-fund-grant,8,1,"Lincoln, Nebraska, United States",Nebraska Innovation Fund offers financing to enable businesses and individuals in Nebraska to commercialize and build products and services.,"Government Office, Venture Capital","Grant, Seed",,"44,939"
ACT Government,https://www.crunchbase.com/organization/act-government,6,,"Canberra, Australian Capital Territory, Australia",ACT Government provides accessible and responsive services.,Government Office,Grant,6,"44,902"
Den Haag,https://www.crunchbase.com/organization/den-haag,1,,"Den Haag, Zuid-Holland, The Netherlands",Den Haag is provides information about The Hague city.,Government Office,,1,"44,897"
FirstBank,https://www.crunchbase.com/organization/firstbank-d89d,2,,"Nashville, Tennessee, United States",FirstBank is a wholly owned subsidiary of FB Financial Corporation.,Government Office,,,"44,845"
City of Miami,https://www.crunchbase.com/organization/city-of-miami,1,,"Miami, Florida, United States",City of Miami is a government administration.,Government Office,,1,"44,751"
University of Deusto,https://www.crunchbase.com/organization/university-of-deusto,1,,"Bilbao, Pais Vasco, Spain",The University of Deusto is a center with 125 years of experience in university education.,University Program,,,"44,721"
Seoul National University of Science and Technology Technology Holding Company,https://www.crunchbase.com/organization/seoul-national-university-of-science-and-technology-technology-holding-company,9,,"Seoul, Seoul-t'ukpyolsi, South Korea",Seoul National University of Science and Technology Technology Holding Company is an investment firm.,University Program,,3,"44,690"
Expo Live,https://www.crunchbase.com/organization/expo-live,4,,"Dubai, Dubai, United Arab Emirates",Innovation Impact Grant Programme funds and supports novel and innovative solutions from around the world.  ,"Entrepreneurship Program, Government Office","Early Stage Venture, Grant",1,"44,674"
Pompeu Fabra University,https://www.crunchbase.com/organization/pompeu-fabra-university,1,,"Barcelona, Catalonia, Spain","Pompeu Fabra University is a university in Barcelona, Catalonia, Spain.",University Program,,,"44,362"
Saudi Industrial Development Fund (SIDF),https://www.crunchbase.com/organization/saudi-industrial-development-fund-sidf,1,1,"Riyadh, Ar Riyad, Saudi Arabia",SIDF enhances ecosystem competitiveness and investment attractiveness by providing financial and non-financial offerings.,Government Office,,1,"44,323"
Yissum Technology Transfer Company of the Hebrew University,https://www.crunchbase.com/organization/yissum-research-development,2,1,"Jerusalem, Yerushalayim, Israel",Yissum Research Development is a technology transfer company that markets the inventions of the Hebrew University of Jerusalem.,"Government Office, University Program","Early Stage Venture, Private Equity",,"44,311"
Illinois Department of Commerce & Economic Opportunity,https://www.crunchbase.com/organization/illinois-department-of-commerce-economic-opportunity,2,,"Springfield, Missouri, United States",Illinois Department of Commerce & Economic Opportunity aims to promote equal economic opportunities throughout Illinois.,Government Office,,1,"44,112"
HM Treasury,https://www.crunchbase.com/organization/hm-treasury,4,,"London, England, United Kingdom",HM Treasury is responsible for developing and executing the British government's public finance policy and economic policy.,Government Office,,1,"44,060"
Genopole,https://www.crunchbase.com/organization/genopole,1,,"Évry, Ile-de-France, France",Genopole is France's leading biotech and biotherapy-dedicated science and business park.,"Government Office, Venture Capital",,,"43,944"
The Welsh Government,https://www.crunchbase.com/organization/the-welsh-government,21,3,"Cardiff, Cardiff, United Kingdom",The Welsh Government is an investment firm.,Government Office,Grant,18,"43,846"
Singapore University of Technology & Design,https://www.crunchbase.com/organization/singapore-university-of-technology-design,2,,"Singapore, Central Region, Singapore",SUTD is established to advance knowledge and nurture technically grounded leaders and innovators to serve societal needs.,University Program,,,"43,608"
Michigan Biomedical Venture Fund,https://www.crunchbase.com/organization/michigan-biomedical-venture-fund,3,,"Ann Arbor, Michigan, United States",Michigan Biomedical Venture Fund provides seed funding to nascent University of Michigan biomedical start-ups.,"University Program, Venture Capital",Seed,1,"43,582"
State of Michigan,https://www.crunchbase.com/organization/state-of-michigan,3,1,"Lansing, Michigan, United States",State of Michigan is an American midwestern state located in the union of the United States.,Government Office,,3,"43,577"
Cass Business School,https://www.crunchbase.com/organization/cass-business-school,1,,"London, England, United Kingdom",We are international and attract students and faculty from around the world.,University Program,,,"43,511"
Rhode Island Foundation,https://www.crunchbase.com/organization/rhode-island-foundation,26,,"Providence, Rhode Island, United States",Rhode Island Foundation is a proactive community and philanthropic leader dedicated to meeting the needs of the people of Rhode Island.,Government Office,,26,"43,402"
GLS Community Bank eG,https://www.crunchbase.com/organization/gls-community-bank-eg,3,,"Bochum, Nordrhein-Westfalen, Germany","GLS Community Bank eG is the first social-ecological bank in the world. Secure, transparent and sustainable banking, located in Bochum.",Government Office,,1,"43,393"
Ajuntament de Barcelona,https://www.crunchbase.com/organization/ajuntament-de-barcelona,2,,"Barcelona, Catalonia, Spain","Ajuntament de Barcelona is the official website of Barcelona, Spain.",Government Office,,,"43,365"
Georgia's Innovation and Technology Agency,https://www.crunchbase.com/organization/georgia-s-innovation-and-technology-agency,15,,"Tbilisi, Dushet'is Raioni, Georgia","The native resolution of the Government, the Ministry of Economy and Sustainable Development under state control",Government Office,,6,"43,124"
ANII,https://www.crunchbase.com/organization/anii,12,,"Montevideo, NA - Uruguay, Uruguay",ANII is an innovation and research national agency.,Government Office,"Debt, Early Stage Venture, Grant, Non Equity Assistance, Seed",4,"43,119"
Government ICT Authority,https://www.crunchbase.com/organization/government-ict-authority,2,1,"Jerusalem, Yerushalayim, Israel",Government ICT Authority provides public access to government information from a publicly accessible government building.,Government Office,,1,"43,105"
"CU ENTERPRISE CO., LTD.",https://www.crunchbase.com/organization/cu-enterprise-co-ltd-64bb,3,,"Bangkok, Krung Thep, Thailand","A Holding Company of Chulalongkorn University, Thailand","Accelerator, University Program, Venture Capital","Early Stage Venture, Late Stage Venture",,"43,090"
Leiden University,https://www.crunchbase.com/organization/leiden-university,2,,"Leiden, Zuid-Holland, The Netherlands",Leiden University offers outstanding international students an intellectually exciting learning environment with high academic standards,University Program,,1,"43,040"
Birmingham City Council,https://www.crunchbase.com/organization/birmingham-city-council,2,1,"Birmingham, Birmingham, United Kingdom",Birmingham City Council now enables organisations to advertise on Birmingham.gov.uk.,Government Office,,1,"42,953"
OCAST,https://www.crunchbase.com/organization/ocast,4,,"Tulsa, Oklahoma, United States","OCAST is the agency of the government of Oklahoma, responsible for technology-based economic development.",Government Office,,,"42,906"
U.S. Forest Service,https://www.crunchbase.com/organization/u-s-forest-service,2,,"Washington, District of Columbia, United States",U.S Forest Service is an agency of the Us Department of Agriculture that administers the nation's national forests and national grasslands.,Government Office,,2,"42,858"
Digital Economy Promotion Agency,https://www.crunchbase.com/organization/digital-economy-promotion-agency,5,,"Bangkok, Krung Thep, Thailand",Digital Economy Promotion Agency was established to promote and support the development of digital industry.,Government Office,Early Stage Venture,1,"42,643"
Tennessee State Government,https://www.crunchbase.com/organization/state-of-tennessee,2,1,"Nashville, Tennessee, United States","Tennessee State Government is a government body that provides health, education, agriculture, human resources, legal, and business services.",Government Office,,2,"42,622"
Japan - The Government of Japan,https://www.crunchbase.com/organization/japan-the-government-of-japan,1,1,"Tokyo, Tokyo, Japan",Japan - The Government of Japan is a non profit organization.,Government Office,,1,"42,591"
"Ministère de l’Economie, des Finances et du Budget",https://www.crunchbase.com/organization/ministere-de-l-economie-des-finances-et-du-budget,2,,"Paris, Ile-de-France, France",The Ministry of the Economy and Finance is one of the most important ministries in the Government of France.,Government Office,,1,"42,564"
Canadian Government,https://www.crunchbase.com/organization/canadian-government,9,3,"Ottawa, Ontario, Canada",Canadian Government is a platform that offers information about new legislation's and services provided by the Canadian government.,Government Office,,6,"42,555"
State of Florida,https://www.crunchbase.com/organization/state-of-florida,1,,"Tallahassee, Florida, United States",The State of Florida is an online telephone and email directory for state government agencies and employees in Florida.,Government Office,,1,"42,525"
Norway Grants,https://www.crunchbase.com/organization/norway-grants,2,,"Brussels, Brussels Hoofdstedelijk Gewest, Belgium",Norway Grants are financed solely by Norway and available in 13 EU member countries.,Government Office,,2,"42,418"
MIT Venture Mentoring Service (MIT VMS),https://www.crunchbase.com/organization/mit-venture-mentoring-service-mit-vms,74,18,"Cambridge, Massachusetts, United States",MIT Venture Mentoring Service matches prospective and experienced entrepreneurs with skilled volunteer mentors.,University Program,,,"42,396"
National Endowment for the Humanities (NEH),https://www.crunchbase.com/organization/national-endowment-for-the-humanities-neh,7,,"Washington, District of Columbia, United States","National Endowment for the Humanities is dedicated to supporting research, education, preservation, and public programs in the humanities.",Government Office,,3,"42,305"
Chang An Hui Tong Fund,https://www.crunchbase.com/organization/chang-an-hui-tong-fund,4,,"Xian Shi, Shaanxi, China",Chang'an Huitong is the provincial state-owned capital operation company in the province approved by the provincial government.,Government Office,,2,"42,161"
AWE net,https://www.crunchbase.com/organization/awe-net,1,,"Chester Heights, Pennsylvania, United States",AWE is a learning software development and distribution company.,University Program,Early Stage Venture,,"42,137"
Defense Health Agency,https://www.crunchbase.com/organization/defense-health-agency,1,,"Falls Church, Virginia, United States","Defense Health Agency provides Tricare Health Plan, pharmacy, public health, and health information technology.",Government Office,Grant,1,"42,100"
New Jersey Board of Public Utilities,https://www.crunchbase.com/organization/new-jersey-board-of-public-utilities,1,1,"Trenton, New Jersey, United States",New Jersey Board of Public Utilities is the governmental organization in charge of managing the regulated utilities.,Government Office,,,"41,991"
Swedish Energy Agency,https://www.crunchbase.com/organization/swedish-energy-agency,21,4,"Eskilstuna, Sodermanlands Lan, Sweden",Swedish Energy Agency is a government agency for national energy policy issues.,Government Office,Debt,13,"41,966"
Business Oregon,https://www.crunchbase.com/organization/business-oregon,11,2,"Salem, Oregon, United States","Business Oregon works to create, retain, expand and attract businesses.",Government Office,,5,"41,912"
ANSER RDC,https://www.crunchbase.com/organization/anser-rdc,1,,"Kinshasa, Kinshasa, Congo, Democratic Republic of",Anser RDC is the governmental structure implemented by the Congolese State to ensure the success of the challenge of electrification.,Government Office,,,"41,896"
PSL Research University,https://www.crunchbase.com/organization/psl-research-university,1,,"Paris, Ile-de-France, France",PSL Research University improves critical thinking skills and fosters creativity.,University Program,Seed,,"41,856"
Pohang University of Science and Technology,https://www.crunchbase.com/organization/pohang-university-of-science-and-technology,23,,"Pohang, Kyongsang-bukto, South Korea",Pohang University of Science and Technology is a school.,University Program,,7,"41,763"
PoliHub,https://www.crunchbase.com/organization/polihub-2,10,,"Milano, Lombardia, Italy",PoliHub the business incubator of the Politecnico of Milan managed by Politecnico di Milano Foundation.,"Government Office, Incubator",,,"41,753"
EIT - European Institute of Innovation and Technology,https://www.crunchbase.com/organization/eit-urban-mobility-490b,13,1,"Barcelona, Catalonia, Spain",EIT - European Institute of Innovation and Technology is an initiative of the European Institute of Innovation and Technology (EIT).,"Accelerator, Entrepreneurship Program, Incubator, Startup Competition, University Program, Venture Capital, Venture Debt","Debt, Early Stage Venture, Grant, Non Equity Assistance, Seed",6,"41,748"
Maine.gov,https://www.crunchbase.com/organization/state-of-maine,3,,"Augusta, Maine, United States",Maine.gov is an online portal of Maine state government.,Government Office,,3,"41,705"
Capability and Innovation Fund,https://www.crunchbase.com/organization/capability-and-innovation-fund,24,6,"London, England, United Kingdom",Capability and Innovation Fund empowers eligible bodies to enhance the products and services which are available to SMEs.,Government Office,Grant,24,"41,595"
Utah First,https://www.crunchbase.com/organization/utah-first,,,"Salt Lake City, Utah, United States",Utah First is a credit union that is federally insured under the National Credit Union Agreement.,Government Office,,,"41,541"
