Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Industry Groups,Number of Founders,Number of Employees,Number of Funding Rounds,Funding Status,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors
USFate,https://www.crunchbase.com/organization/usfate,Internet,"Pasadena, California, United States",better Match Making,"3,200,033","Greater Los Angeles Area, West Coast, Western US",Active,2013-04-07,day,,,,,For Profit,,USFate help you meet the right romantic mate.,Internet Services,1,,,,,,,,,,,,
Garcia Legal,https://www.crunchbase.com/organization/garcia-legal,"Consulting, Insurance, Legal","Miami Lakes, Florida, United States","Garcia Legal is a litigation solutions company that offers insurance coverage disputes, property claims and employment law services.","3,200,036","Greater Miami Area, East Coast, Southern US",Active,,,,,,,For Profit,https://garcialegalpa.com,,"Financial Services, Professional Services",,1-10,,,,,,,,,,,
Main Street IME Physicians,https://www.crunchbase.com/organization/main-street-ime-physicians,"Consulting, Medical, Personal Health","Hagerstown, Maryland, United States","Main Street IME Physicians provides independent medical examinations, expert witnesses, medical consulting, and support services.","3,200,041","East Coast, Southern US",Active,,,,,,,For Profit,https://mainstreetime.com,"Main Street IME Physician provides independent medical examinations, medical billing, record, auto liability, medical malpractice, virtual IME examinations, disability, and FMLA services. They offer consultation services to attorneys prior. They include medical equipment, physical therapy, and occupational therapy.","Health Care, Professional Services",,11-50,,,,,,,,,,,
Twisted Family Creations,https://www.crunchbase.com/organization/twisted-family-creations,E-Commerce,"Inola, Oklahoma, United States",Twisted Family Creations is a online shopping site for hand-crafted gift items.,"3,200,044",Southern US,Active,2012-06-01,day,,,,,For Profit,,,Commerce and Shopping,,1-10,1,,,USD,,,USD,,,,
Vincent L. Braband Insurance,https://www.crunchbase.com/organization/vincent-l-braband-insurance,Insurance,"Arlington Heights, Illinois, United States",Vincent L. Braband Insurance is a retail insurance broker providing commercial property/casualty and risk management consulting.,"3,200,048","Greater Chicago Area, Great Lakes, Midwestern US",Active,1930-01-01,year,2016-03-10,day,,,For Profit,,"Vincent L. Braband Insurance is a retail insurance broker providing commercial property/casualty, risk management consulting, employee benefits and personal lines insurance services to middle-market clients. They specialize in providing insurance coverage for law firms and the transportation industry.",Financial Services,,,,M&A,,,,,,,,,
NBGLogistics,https://www.crunchbase.com/organization/nbglogistics,,"West Palm Beach, Florida, United States","With emphasis on safety of our drivers, our trucks and your freight we are one of the most reliable carriers for our partnered customers.","3,200,053","Greater Miami Area, East Coast, Southern US",Active,,,,,,,For Profit,http://nbglogistics.com/,"With emphasis on safety of our drivers, our trucks and your freight we are one of the most reliable carriers for our partnered customers.",,,,,,,,,,,,,,
Douglas R. Peete & Associates,https://www.crunchbase.com/organization/douglas-r-peete-associates,"Banking, Consulting, Finance, Insurance, Venture Capital","Overland Park, Kansas, United States","Qualified plans, Investment Advisor, Insurance Planning, Fee-Based Planning, Advisor Services for Business Owners","3,200,064",Midwestern US,Active,1980-01-01,year,,,,,For Profit,https://www.peete.com/,"Douglas R. Peete & Associates is a full service financial firm providing services through LPL Financial in Overland Park, KS. LPL Financial is one of the nation's leading financial services companies and a publicly traded company under ticker symbol LPLA. The firm's mission is rooted in the belief that objective financial guidance is a fundamental need for everyone.","Financial Services, Lending and Investments, Professional Services",,,,,,,,,,,,,
Carrollton TX Roofer,https://www.crunchbase.com/organization/carrollton-tx-roofer,,"Carrollton, Texas, United States",We use only the best quality roofing materials to ensure durability and longevity of your roof.,"3,200,065","Dallas/Fort Worth Metroplex, Southern US",Active,1990-01-01,day,,,,,For Profit,https://carrolltontxroofer.com/,"At Carrollton TX Roofer, we commit to building long-lasting relationships with our customers by delivering high-quality roofing solutions. With decades of experience, we understand that your roof is more than just a protective covering for your home; it’s an investment in your family’s safety and comfort. That’s why we take a personal approach to every job we take on, from start to finish.",,,11-50,,,,,,,,,,,
Desecuritrex,https://www.crunchbase.com/organization/desecuritrex-llc,"Big Data, Consulting","Lincolnwood, Illinois, United States","Desecuritrex, LLC ‘s mission is to aid maintain and support an attorney referral network interested in representing home owners in.","3,200,066","Greater Chicago Area, Great Lakes, Midwestern US",Active,2012-05-01,day,,,,,For Profit,,"Desecuritrex, LLC ‘s mission is to aid maintain and support an attorney referral network interested in representing home owners in their efforts to remove illegal liens on their property  which were created by inadequate, faulty, or fraudulent Security instruments presented to them by their lender for signing at the time of the loan dispensation. To attain this goal Desecuritrex LLC will maintain a list of attorneys in its referral network who would like to represent clients in Quiet Title Actions and who are interested in advancing, supporting, and implementing the company’s legal theories for the benefit of homeowners.","Data and Analytics, Professional Services",,1-10,1,,,USD,,,USD,,,,
ClarityPark,https://www.crunchbase.com/organization/claritypark,"Personal Health, Productivity Tools","San Francisco, California, United States",Mordern Online Organizer,"3,200,070","San Francisco Bay Area, West Coast, Western US",Active,2019-01-01,day,,,,,For Profit,http://www.ClarityPark.com,,"Health Care, Software",1,1-10,,,,,,,,,,,
"Management Impact Solutions Consulting, LP",https://www.crunchbase.com/organization/management-impact-solutions-consulting-lp,"Aerospace, Consulting, E-Commerce, Information Technology","Orange, California, United States","Recruiting, professional services technical,  IT staff augmentation, project staffing, AFWERX support, lobbyist, political campaigns, PR","3,200,074","Greater Los Angeles Area, West Coast, Western US",Active,2007-01-15,day,,,,,For Profit,http://www.misolutionsconsulting.com,"Management Impact Solutions Consulting, DBA MiSolutions Consulting, is a leading contract, contingency, retained search, staff  augmentation firm whose offerings include Professional Employer Organization services that specializes in IT, HRIS, political campaigns, public relations, marketing and business solutions for private sector companies, not-for-profit organizations, government contractors, GSEs in regulated industries such as insurance, healthcare, energy, real estate, e-commerce, banking, and FinTech. Without prejudice. UCC 1-380.","Commerce and Shopping, Information Technology, Professional Services, Science and Engineering",1,1001-5000,,,,,,,,,,,
Merilus,https://www.crunchbase.com/organization/merilus,"Internet, Publishing","Salt Lake City, Utah, United States",Merilus Inc. provides smart solutions that simplify the digital security process for network linking organizations.,"3,200,079",Western US,Closed,1985-01-01,day,,,,none,For Profit,https://www.merilus.com/,,"Content and Publishing, Internet Services, Media and Entertainment",,1-10,,,,,,,,,,,
japisoft,https://www.crunchbase.com/organization/japisoft,,"Philadelphia, Pennsylvania, United States",Japisoft is an independent application developing company that develops applications for iOS and Android devices.,"3,200,086","Greater Philadelphia Area, Great Lakes, Northeastern US",Active,,,,,,,For Profit,http://www.icertif.com,Japisoft is an independent application developing company that develops applications for iOS and Android devices.  Baby first Phon,,,1-10,,,,,,,,,,,
Studiomates,https://www.crunchbase.com/organization/studiomates,Association,"Brooklyn, New York, United States","Studiomates is a collaborative workspace of designers, illustrators, bloggers, writers, and developers.","3,200,087","Greater New York Area, East Coast, Northeastern US",Closed,2010-01-01,year,,,,none,,http://studiomates.com/,"Studiomates is a collaborative workspace of designers, illustrators, bloggers, writers, and developers. It is based in Brooklyn, New York.",Other,,,,,,,,,,,,,
NATIONAL CONCRETE BURIAL VAULT ASSOCIATION,https://www.crunchbase.com/organization/national-concrete-burial-vault-association,"Association, Non Profit","Greenville, South Carolina, United States",NATIONAL CONCRETE BURIAL VAULT ASSOCIATION is a nonprofit organization that provides a unified voice for the concrete burial vault industry.,"3,200,088","East Coast, Southern US",Active,1930-01-01,year,,,,,Non-profit,https://ncbva.org,,"Other, Social Impact",,,,,,,,,,,,,
Tybee Cottages,https://www.crunchbase.com/organization/tybee-cottages,"Real Estate, Real Estate Investment, Rental, Vacation Rental","Savannah, Georgia, United States",Tybee cottages is a holiday rental firm that offers rental homes with pools for customers and families to enjoy vacations.,"3,200,092","East Coast, Southern US",Active,,,,,,,For Profit,https://www.tybeecottages.com/,,"Commerce and Shopping, Financial Services, Real Estate, Travel and Tourism",1,,,,,,,,,,,,
Saini Orthodontics,https://www.crunchbase.com/organization/saini-orthodontics,"Dental, Health Care, Medical, Wellness","Columbia, Maryland, United States","Saini Orthodontics offers orthognathic surgery, braces, and TMD treatment.","3,200,093","Greater Baltimore-Maryland Area, East Coast, Southern US",Active,1970-01-01,year,,,,,For Profit,https://www.sainismiles.com,"Saini Orthodontics provides dental services that include early treatment, adolescent treatment, adult treatment, invisalign, retention, orthognathic surgery, TMD treatment, orthodontic treatment, ceramic braces, metal braces, lingual braces, and corrective jaw surgery.",Health Care,1,1-10,,,,,,,,,,,
TM Voima group- substation and transmission line business,https://www.crunchbase.com/organization/tm-voima-group-substation-and-transmission-line-business,,"Finland, Minnesota, United States","The TM Voima group is involved in building, repairing and maintaining electricity grid and energy infrastructure.","3,200,095","Great Lakes, Midwestern US",Active,,,2022-10-27,day,,,For Profit,https://tmvpower.ee/eng/consortium/tm-voima-consortium,"The TM Voima group is involved in building, repairing and maintaining electricity grid and energy infrastructure.",,,,,M&A,,,,,,,,,
Utah APWA Store,https://www.crunchbase.com/organization/apwa-store,"Field Support, Internet, Non Profit","Salt Lake City, Utah, United States",Utah APWA Store is a public service-based company.,"3,200,102",Western US,Active,,,,,,,Non-profit,https://stargov.com,"Utah APWA Store is a public service-based company. The purposes of this Chapter shall be the advancement of the theory and practice of the design, construction, maintenance, administration, and operation of public works facilities and services.","Internet Services, Other, Professional Services, Social Impact",,,,,,,,,,,,,
Superior Rental Management,https://www.crunchbase.com/organization/superior-rental-management,"Home Services, Property Management, Rental","Cloquet, Minnesota, United States","Superior Rental Management is a property management firm that offers apartments, homes & duplexes for rent.","3,200,103","Great Lakes, Midwestern US",Active,,,,,,,For Profit,https://www.superiorrentalmanagement.com/index.html,,"Commerce and Shopping, Real Estate",,11-50,,,,,,,,,,,
Hertzbier,https://www.crunchbase.com/organization/hertzbier,"Craft Beer, Wine And Spirits","San Diego, California, United States",Accelerated barrel aging in any size barrel,"3,200,103","Greater San Diego Area, West Coast, Western US",Closed,,,,,,none,For Profit,http://www.hertzbier.com/,"Hertzbier has shown that technology can accelerate the barrel aging process. Their platform (the Symphony) agitates the contents of barrels from the inside, and promotes the natural processes that transpire during barrel aging, drastically reducing time to market.",Food and Beverage,3,1-10,,,,,,,,,,,
J&M Family Chiropractic,https://www.crunchbase.com/organization/j-m-family-chiropractic,"Health Care, Medical, Personal Health","Woodbury, Connecticut, United States","J&M Family Chiropractic provides general chiropractic, pediatric chiropractic, and pregnancy chiropractic services.","3,200,106","East Coast, New England, Northeastern US",Active,,,,,,,For Profit,https://www.jmfamilychiropractic.com,"J&M Family Chiropractic offers pediatric chiropractic, pregnancy chiropractic, and general chiropractic services. They treat chronic conditions like back pain, neck pain, or headaches. They offer a natural option by removing the neurological stress and improving the structure to help children thrive. They specialize in care during pregnancy.",Health Care,,11-50,,,,,,,,,,,
Mosley Insurance and Financial Services,https://www.crunchbase.com/organization/mosley-insurance-and-financial-services,"Financial Services, Insurance, Wealth Management","Anaheim, California, United States","Mosley Insurance and Financial Services provides wealth accumulation strategies, asset protection, annuities and life insurance.","3,200,111","Greater Los Angeles Area, West Coast, Western US",Active,2013-01-01,year,,,,,For Profit,https://easeintoretirement.com,,Financial Services,,1-10,,,,,,,,,,,
Lodgeasy,https://www.crunchbase.com/organization/lodgeasy,"Real Estate, Travel","Minnetonka, Minnesota, United States","A service to match property owners with travelers. Travelers list their vacation - where, when, and their budget. Owners make offers.","3,200,112","Greater Minneapolis-Saint Paul Area, Great Lakes, Midwestern US",Closed,2013-09-01,day,,,,none,For Profit,https://www.lodgeasy.com,,"Real Estate, Travel and Tourism",,1-10,,,,,,,,,,,
Mechanic.Media,https://www.crunchbase.com/organization/mechanic-media,"Web Browsers, Web Design, Web Development","Analomink, Pennsylvania, United States","Comprehensive web services packaged as cost-effective, high-performance websites for independent auto-repair shops.","3,200,121","Great Lakes, Northeastern US",Active,2015-10-21,day,,,,,For Profit,https://Mechanic.Media,,"Design, Internet Services, Software",1,1-10,,,,,,,,,,,
Carolina Hearing Doctors,https://www.crunchbase.com/organization/carolina-hearing-doctors,"Health Care, Medical, Personal Health","Winston-salem, North Carolina, United States","Carolina Hearing Doctors provides hearing evaluations, hearing aids, audiologist, and assistive listening solutions.","3,200,124","East Coast, Southern US",Active,2002-01-01,year,,,,,For Profit,https://www.carolinahearingdoctors.com,,Health Care,,11-50,,,,,,,,,,,
Staging Horizons,https://www.crunchbase.com/organization/staging-horizons,"Customer Service, Professional Services, Video Advertising","Copiague, New York, United States",Staging Horizons is a visual service company that specialize in division of advance audio for all events ensures a flawless presentation.,"3,200,136","Greater New York Area, East Coast, Northeastern US",Active,1985-01-01,day,,,,,For Profit,http://www.staginghorizons.com/,,"Advertising, Other, Professional Services, Sales and Marketing",,51-100,,,,,,,,,,,
Smile Designers Dental,https://www.crunchbase.com/organization/smile-designers-dental-2,"Health Care, Medical","California, Kentucky, United States","Smile Designers Dental is a dental office in Turlock which provides affordable, comfortable & personalized dental services.","3,200,140",Southern US,Active,2010-09-14,day,,,,,For Profit,https://turlocksmiledesigners.com/,,Health Care,,11-50,,,,,,,,,,,
Avesta Lamar Station,https://www.crunchbase.com/organization/avesta-lamar-station,Real Estate,"Austin, Texas, United States",Live Abundantly at Avesta Lamar Station.,"3,200,147",Southern US,Closed,,,,,,none,For Profit,http://www.avestalamarstation.com,"Live Abundantly at Avesta Lamar Station. One and two bedroom apartment homes are available in several unique and versatile floor plans. Each home features a fully-equipped gourmet kitchen and also includes designer upgrades such as wood plank flooring, subway tile backsplashes, ceiling fans, and large bay windows. Our homes have an abundance of natural light, convenient city location, and a customer service focused team to help make your living experience the best it can be!",Real Estate,,,,,,,,,,,,,
Lightron of Cornwall,https://www.crunchbase.com/organization/lightron-of-cornwall,,"New Windsor, New York, United States",Lightron of Cornwall,"3,200,153","Greater New York Area, East Coast, Northeastern US",Closed,,,,,2020-01-01,year,For Profit,,,,,,1,,,,,63195,USD,63195,NYSERDA,,1
Ohmsett,https://www.crunchbase.com/organization/ohmsett,"Oil and Gas, Renewable Energy, Test and Measurement, Training","Leonardo, New Jersey, United States",Ohmsett is an oil spill response research and renewable energy test facility.,"3,200,154","Greater New York Area, East Coast, Northeastern US",Active,,,,,,,For Profit,https://www.ohmsett.com,"Ohmsett provides a test tank that enables the testing of heavy equipment. Modern data collection and camera technologies record test findings while the wave generator in the tank simulates a real sea environment. Their location for equipment testing, weighing purchase alternatives, and confirming study results. Governmental organizations, academic institutions, and public and private businesses use them as a research facility to test new designs in response equipment, contain and clean up equipment, and provide training using actual oil spill response technologies.","Data and Analytics, Education, Energy, Natural Resources, Sustainability",,11-50,,,,,,,,,,,
My Clear Reports,https://www.crunchbase.com/organization/my-clear-reports,"Business Development, Credit, Financial Services","Westbury, New York, United States","My Clear Reports is a business center that helps businesses with IRS reporting, sales tax filing, analytics, and ACH processing.","3,200,155","Greater New York Area, East Coast, Northeastern US",Active,,,,,,,For Profit,http://www.myclearreports.com,,"Financial Services, Lending and Investments, Professional Services",,1-10,,,,,,,,,,,
Resilience Coalition,https://www.crunchbase.com/organization/resilience-coalition,,"Kansas, Oklahoma, United States","Identify and distribute innovative tools, resources and inspiration that have proven valuable in supporting resilience, wellness.","3,200,155",Southern US,Active,,,,,,,For Profit,,,,1,,,,,,,,,,,,
cheapdanny.com,https://www.crunchbase.com/organization/cheapdanny-com,"E-Commerce, Fashion, Internet, Lifestyle","New York, New York, United States",cheapdanny offers an online platform that enables shoppers to find deals and coupons.,"3,200,156","Greater New York Area, East Coast, Northeastern US",Active,2007-01-01,year,,,,,For Profit,http://www.cheapdanny.com/,"Thanks for visiting cheapdanny.com! This site was created for the average family like mine to keep expenses low. There’s no reason why their should spend more money when its not necessary. Their all know that with a little bit of time and effort their can save on just about anything. From stylish clothing to the latest gadgets, you will find the most up-to-date sales and bargains online.  With your help, cheapdanny.com would like to become the final destination to save on top styles from apparel, footwear and accessories, food, electronics, ﻿household items﻿, travel and more. Established in New York City, NY in 2007, cheapdanny offers coupons and deals to stretch your dollar a little longer.","Clothing and Apparel, Commerce and Shopping, Community and Lifestyle, Design, Internet Services",,,,,,,,,,,,,
Bank's Oreck Clean Home Centers,https://www.crunchbase.com/organization/bank-s-oreck-clean-home-centers,"Banking, Financial Services, Retail","Henderson, Nevada, United States",Bank's Oreck has been in business for over 60 years.,"3,200,159",Western US,Active,1956-01-01,year,,,,,For Profit,http://banksoreck.com/,"Bank's Oreck Vacuum offers more vacuum products & services at a much lower price than any other vacuum source. Bank's Oreck Vacuum local stores offers lower prices than the Oreck TV offers, QVC specials, Costco, Amazon and all others.","Commerce and Shopping, Financial Services, Lending and Investments",,1-10,,,,,,,,,,,
Cooper Professionals,https://www.crunchbase.com/organization/cooper-professionals,"Financial Services, Funding Platform, Insurance","San Jose, California, United States",Cooper Professional are in to final care financing.,"3,200,171","San Francisco Bay Area, Silicon Valley, West Coast",Active,2009-01-01,year,,,,,For Profit,https://cooperprofessionals.com,"Cooper Professionals have been hard-at-work implementing our core business strategy- pooling the funds of African-American and other Minority Independent funeral homes to increase purchasing and contracting power. The support we’ve attracted from folks like you- providers with long-standing ties to their local churches and communities, along with active membership in professional associations- has helped us gain serious traction from major vendors of death-care products & services.","Financial Services, Lending and Investments",,1-10,,,,,,,,,,,
Man goes mobile,https://www.crunchbase.com/organization/man-goes-mobile,Web Development,"New Orleans, Louisiana, United States",Man goes mobile working on programmatic deployments of mobile technology in international development.,"3,200,178",Southern US,Closed,2011-01-01,year,,,,none,For Profit,http://www.mangoesmobile.com/,Man goes mobile working on programmatic deployments of mobile technology in international development.,Software,1,1-10,,,,,,,,,,,
Box Surprises,https://www.crunchbase.com/organization/box-surprises,"E-Commerce, Internet","Frisco, Texas, United States",Unique way for providing online Gifts,"3,200,182","Dallas/Fort Worth Metroplex, Southern US",Closed,2018-07-11,day,,,,none,For Profit,https://www.boxsurprises.com,,"Commerce and Shopping, Internet Services",1,1-10,,,,,,,,,,,
Northwest Area School District,https://www.crunchbase.com/organization/northwest-area-school-district,Education,"Shickshinny, Pennsylvania, United States","Northwest Area School District offers programs for all levels of development, including those with gifted or special needs.","3,200,185","Great Lakes, Northeastern US",Active,,,,,,,For Profit,https://www.nasdedu.com/,,Education,,101-250,,,,,,,,,,,
Stomp Mobility Inc,https://www.crunchbase.com/organization/zercup,Mobile,"Newport Beach, California, United States","30 Sec Recharging™ SUV's, Pickups & Class 8 Tractors.","3,200,191","Greater Los Angeles Area, West Coast, Western US",Closed,2014-01-01,day,,,,none,For Profit,http://www.LaunchRock.StompMobility.com,"30 Sec Recharging™ SUV's, Pickups & Class 8 Tractors.",Mobile,1,1-10,,,,,,,,,,,
AK Tax Service,https://www.crunchbase.com/organization/ak-tax-service,"Consulting, Financial Services, Professional Services","Chicago, Illinois, United States",AK Tax Service offer a wide range of tax services including tax income and expense services.,"3,200,193","Greater Chicago Area, Great Lakes, Midwestern US",Active,,,,,,,For Profit,https://aktaxservice.com/,,"Financial Services, Other, Professional Services",,,,,,,,,,,,,
Right Click New Company,https://www.crunchbase.com/organization/right-click-new-company,Venture Capital,"Mcminnville, Oregon, United States",Right Click New Company is a venture capital firm.,"3,200,196","West Coast, Western US",Active,2015-01-01,year,,,,,For Profit,http://rightclicknew.com,,"Financial Services, Lending and Investments",1,1-10,,,,,,,,,,,
Select Data - outsourced services business unit,https://www.crunchbase.com/organization/select-data-outsourced-services-business-unit,,"Anaheim, California, United States",Select Data outsourced services business unit is setting the industry standard by leveraging the power of artificial intelligence.,"3,200,197","Greater Los Angeles Area, West Coast, Western US",Active,,,2023-01-19,day,,,For Profit,,"Select Data outsourced services business unit measure success by the impact have on  customers' clinical and financial outcomes. Team members are an important part of success, and carefully select professionals who are focused on: Select Data outsourced services business unit is setting the industry standard by leveraging the power of artificial intelligence and natural language processing (NLP) in SmartCare solution.",,,,,M&A,,,,,,,,,
Guilbeau Insurance Agency LLC,https://www.crunchbase.com/organization/guilbeau-insurance-agency-llc,Insurance,"Greenville, New York, United States","Insurance coverage, Home Insurance, Car Insurance, Renters Insurance","3,200,202","East Coast, Northeastern US",Active,,,,,,,For Profit,https://guilbeauinsurance.com/,"Guilbeau Insurance Agency an Independent Woman-led Insurance Agency located in Glenville, New York. We offer a wide range of Insurance for your Personal and Business needs. Auto/Car Insurance - Motorcycle Insurance - Home Insurance- Recreational - Business and more!!! Michelle provides a hands-on service with same-day money and help. Find out why so many trust Guilbeau for their insurance needs in the Capital District. Serving Schenectady, Glenville, Niskayuna, Saratoga, Clifton Park, Latham, Albany, Troy, and more.",Financial Services,1,1-10,,,,,,,,,,,
The Hair Angels,https://www.crunchbase.com/organization/the-hair-angels,Health Care,"Pasadena, California, United States",The Hair Angels provides professional and guaranteed head lice removal for the entire family.,"3,200,214","Greater Los Angeles Area, West Coast, Western US",Active,,,,,,,For Profit,http://TheHairAngels.com,The Hair Angels provides professional and guaranteed head lice removal for the entire family.  Since 2008 we've helped thousands of families win their battle ag,Health Care,,11-50,,,,,,,,,,,
Texan IT,https://www.crunchbase.com/organization/texan-it,"Computer, Email Marketing, Information Technology, Web Design","Lexington, Kentucky, United States",Texan IT provides IT and computer support services.,"3,200,215",Southern US,Active,1999-01-01,year,,,,,For Profit,https://www.texanit.com,"Texan IT provides printer support, hardware support, social media, email hosting and access, computer support, networking support, search engine, blog setup and hosting, visibility, registering and managing your domain, email marketing, and remote support. They respond to customer inquiries by phone, contact form, and email.","Consumer Electronics, Design, Hardware, Information Technology, Sales and Marketing",,,,,,,,,,,,,
dalkf,https://www.crunchbase.com/organization/canoe-delivery,,"New York, New York, United States",sfkja;l,"3,200,216","Greater New York Area, East Coast, Northeastern US",Active,2017-03-01,month,,,,,For Profit,,,,,,,,,,,,,,,,
Dedham Dentist,https://www.crunchbase.com/organization/dedham-dentist,"Dental, Health Care, Medical","Dedham, Massachusetts, United States","Dedham Dentist provides veneers, dental implants, and dentures services.","3,200,217","Greater Boston Area, East Coast, New England",Active,,,,,,,For Profit,https://www.dedhamdentist.com,"Dedham Dentist use technology including intra-oral cameras, digital impression scanners, digital radiographs, soft tissue lasers, and even botox injections. They provide comprehensive dentistry, dental implants, dentures, partial dentures, veneers, laminates, crowns, bridges, cosmetic dentistry, teeth whitening, and TMJ disorder management services.",Health Care,,11-50,,,,,,,,,,,
